name,matched_alias,papers_last_12m,papers_last_36m,last_paper_date,latest_title,latest_bibcode,recent_activity_flag
HD21749c,HD21749 c,0,0,,,,False
HD23472c,HD23472 c,0,0,,,,False
HD23472f,HD23472 f,0,0,,,,False
HD28109c,HD28109 c,0,0,,,,False
HD28109d,HD28109 d,0,0,,,,False
HD63433b,HD63433 b,0,0,,,,False
HD63433c,HD63433 c,0,1,,,,False
HD63935b,HD63935 b,0,0,,,,False
HD63935c,HD63935 c,0,0,,,,False
HD73583b,HD73583 b,0,0,,,,False
HD73583c,HD73583 c,0,0,,,,False
HD80606b,HD80606b,2,2,2026-07-00,Flash-Heating a Roasted Planet: Time-Resolved Characterization of HD 80606b with JWST/MIRI,2026AAS...24820804K,True
HD86226c,HD86226 c,0,0,,,,False
HD89345b,HD89345 b,0,0,,,,False
HD93963Ac,HD93963Ac,0,0,,,,False
HD97658b,HD97658 b,0,0,,,,False
HD106315c,HD106315 c,0,0,,,,False
HD108236b,HD108236 b,0,0,,,,False
HD108236c,HD108236 c,0,0,,,,False
HD108236d,HD108236 d,0,0,,,,False
HD108236e,HD108236 e,0,0,,,,False
HD109833b,HD109833 b,0,0,,,,False
HD109833c,HD109833 c,0,0,,,,False
HD110082b,HD110082 b,0,0,,,,False
HD110113b,HD110113 b,0,0,,,,False
HD136352c,HD136352 c,0,0,,,,False
HD149026b,HD149026b,4,7,2026-06-00,Exploring atmospheric escape from hot-Jupiters and water-rich sub-Neptunes with full-atmosphere models,2026ASTCS..1130204T,True
HD152843b,HD152843 b,0,1,,,,False
HD152843c,HD152843 c,0,0,,,,False
HD183579b,HD183579 b,0,0,,,,False
HD189733b,HD189733b,22,54,2026-07-00,A parameterised approach to disequilibrium retrievals in the JWST era: Application to NIRCam observations of HD 189733b,2026arXiv260706491T,True
HD191939b,HD191939 b,0,0,,,,False
HD191939c,HD191939 c,0,0,,,,False
HD191939d,HD191939 d,0,0,,,,False
HD202772Ab,HD202772Ab,1,1,2025-12-00,Detailed spectroscopic and photometric analysis of the remarkable planet-hosting wide binary system HD 202772A/B,2025MNRAS.544.3994J,True
HD207496b,HD207496b,1,3,2026-04-00,Core-Powered Mass-Loss of the Primary Atmospheres of Mini-Neptunes: Influence of Water Content in the Planet Interior and Evolution of the Host Star,2026SoSyR..60...23E,True
HD209458b,HD209458b,21,54,2026-06-00,Exploring atmospheric escape from hot-Jupiters and water-rich sub-Neptunes with full-atmosphere models,2026ASTCS..1130204T,True
HD219134b,HD219134 b,0,1,,,,False
HD219666b,HD219666 b,0,0,,,,False
HD221416b,HD221416 b,0,0,,,,False
HD235088b,HD235088 b,0,0,,,,False
HD260655b,HD260655 b,0,0,,,,False
HD260655c,HD260655 c,0,0,,,,False
HD332231b,HD332231 b,0,0,,,,False
HIP65Ab,HIP65Ab,0,1,,,,False
HIP41378e,HIP41378 e,0,0,,,,False
HIP41378f,HIP41378 f,0,0,,,,False
HIP67522b,HIP67522 b,0,0,,,,False
HIP94235b,HIP94235b,1,3,2025-09-00,Searching for Helium Escape and a Low-density Atmosphere Around the 120 Myr Old Sub-Neptune HIP94235b Using CRIRES+,2025AJ....170..162M,True
HIP113103b,HIP113103 b,0,0,,,,False
HIP113103c,HIP113103 c,0,0,,,,False
HIP116454b,HIP116454 b,0,0,,,,False
HR858b,HR858 b,0,0,,,,False
K2-3b,K2 3 b,0,0,,,,False
K2-3c,K2 3 c,0,0,,,,False
K2-18b,K2-18b,67,127,2026-08-00,Hydrocarbon Hazes on Temperate Sub-Neptune K2-18b Supported by Data from the James Webb Space Telescope,2026AJ....172...70L,True
K2-19b,K2 19 b,2,2,2026-01-00,A Decade of Transit-timing Measurements Confirm Resonance in the K2-19 System,2026AJ....171...46E,True
K2-19c,K2 19 c,0,0,,,,False
K2-21c,K2 21 c,0,0,,,,False
K2-24b,K2 24 b,0,0,,,,False
K2-24c,K2 24 c,0,0,,,,False
K2-25b,K2 25 b,1,4,2025-09-00,An Aligned Sub-Neptune Revealed with MAROON-X and a Tendency Toward Alignment for Small Planets,2025AJ....170..182P,True
K2-29b,K2 29 b,0,0,,,,False
K2-30b,K2 30 b,0,0,,,,False
K2-31b,K2 31 b,0,0,,,,False
K2-32b,K2 32 b,0,0,,,,False
K2-32c,K2 32 c,0,0,,,,False
K2-32d,K2 32 d,0,0,,,,False
K2-33b,K2 33 b,0,1,,,,False
K2-34b,K2 34 b,0,0,,,,False
K2-36c,K2 36 c,0,0,,,,False
K2-39b,K2 39 b,0,0,,,,False
K2-52b,K2 52 b,0,0,,,,False
K2-55b,K2 55 b,0,0,,,,False
K2-79b,K2 79 b,1,1,2026-05-00,Constraining small planet compositions for future missions,2026MNRAS.548ag520P,True
K2-87b,K2 87 b,0,0,,,,False
K2-107b,K2 107 b,0,0,,,,False
K2-113b,K2 113 b,0,0,,,,False
K2-115b,K2 115 b,0,0,,,,False
K2-116b,K2 116 b,0,0,,,,False
K2-121b,K2 121 b,0,0,,,,False
K2-129b,K2 129 b,0,0,,,,False
K2-132b,K2 132 b,0,0,,,,False
K2-136c,K2 136 c,0,0,,,,False
K2-138f,K2 138 f,0,0,,,,False
K2-138g,K2 138 g,0,0,,,,False
K2-139b,K2 139 b,1,2,2025-08-00,The Spin─Orbit Alignment of Eight Warm Gas Giant Systems,2025AJ....170...70E,True
K2-140b,K2 140 b,0,0,,,,False
K2-141b,K2-141b,5,9,2026-06-00,Coupled Orbital and Interior Structure Evolution of Lava Planets,2026ApJ..1003..190H,True
K2-141c,K2 141 c,0,0,,,,False
K2-155b,K2 155 b,0,0,,,,False
K2-155c,K2 155 c,0,0,,,,False
K2-174b,K2 174 b,0,0,,,,False
K2-198b,K2 198 b,0,0,,,,False
K2-198d,K2 198 d,0,0,,,,False
K2-199c,K2 199 c,0,0,,,,False
K2-212b,K2 212 b,0,0,,,,False
K2-232b,K2 232 b,0,0,,,,False
K2-233d,K2 233 d,0,0,,,,False
K2-237b,K2-237b,1,2,2025-10-00,"PLATOSpec's first results: Planets WASP-35b and TOI-622b are on aligned orbits, and K2-237b is on a polar orbit",2025A&A...702A.266Z,True
K2-238b,K2 238 b,0,0,,,,False
K2-239b,K2 239 b,0,0,,,,False
K2-239c,K2 239 c,0,0,,,,False
K2-240b,K2 240 b,0,0,,,,False
